Agency,Agency Type,Distribution Channel,Product Name,Gender,Duration,Destination,Net Sales,Commision (in value),Age,Claim
JZI,Airlines,Online,Basic Plan,F,8,THAILAND,30.0,10.5,42,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,58,FINLAND,29.7,17.82,31,No
EPX,Travel Agency,Online,Cancellation Plan,,19,UNITED KINGDOM,10.0,0.0,36,No
LWC,Travel Agency,Online,Single Trip Travel Protect Gold,F,9,SRI LANKA,36.0,23.4,29,No
C2B,Airlines,Online,Silver Plan,M,2,SINGAPORE,30.0,7.5,37,No
EPX,Travel Agency,Online,Cancellation Plan,,24,THAILAND,31.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,38,AUSTRALIA,58.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,12,SPAIN,9.9,5.94,26,No
EPX,Travel Agency,Online,Cancellation Plan,,4,SINGAPORE,15.0,0.0,68,No
EPX,Travel Agency,Online,Cancellation Plan,,42,HONG KONG,21.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,11,MALAYSIA,29.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,2,MACAO,32.0,0.0,35,No
JZI,Airlines,Online,Value Plan,M,30,UNITED KINGDOM,125.0,43.75,43,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,8,CHINA,48.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,13,MALAYSIA,29.7,17.82,27,No
EPX,Travel Agency,Online,Cancellation Plan,,34,SRI LANKA,20.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,24,UNITED ARAB EMIRATES,0.0,23.76,27,No
ART,Airlines,Online,24 Protect,M,3,"IRAN, ISLAMIC REPUBLIC OF",21.04,7.36,48,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,40,"TAIWAN, PROVINCE OF CHINA",33.0,0.0,36,No
JZI,Airlines,Online,Basic Plan,M,5,CHINA,26.0,9.1,29,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,79,INDONESIA,23.0,0.0,39,No
LWC,Travel Agency,Online,Annual Travel Protect Gold,M,370,CHINA,204.6,132.99,39,Yes
CSR,Travel Agency,Offline,Comprehensive Plan,F,43,MALAYSIA,29.0,9.57,8,No
EPX,Travel Agency,Online,Cancellation Plan,,25,POLAND,34.0,0.0,36,No
C2B,Airlines,Online,Annual Silver Plan,F,366,SINGAPORE,216.0,54.0,37,No
C2B,Airlines,Online,Bronze Plan,M,16,SINGAPORE,30.55,7.64,22,No
EPX,Travel Agency,Online,Cancellation Plan,,30,INDIA,10.0,0.0,32,No
JZI,Airlines,Online,Basic Plan,F,26,CHINA,35.0,12.25,27,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,6,AUSTRALIA,49.5,29.7,35,No
EPX,Travel Agency,Online,Cancellation Plan,,83,CANADA,80.0,0.0,61,No
JZI,Airlines,Online,Basic Plan,M,9,INDONESIA,18.0,6.3,49,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,14,AUSTRALIA,0.0,17.82,31,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,55,"KOREA, REPUBLIC OF",98.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,18,VIET NAM,10.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,100,UNITED STATES,0.0,0.0,37,No
EPX,Travel Agency,Online,Cancellation Plan,,8,SINGAPORE,10.0,0.0,31,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,20,OMAN,49.5,29.7,56,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,26,CHINA,36.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,29,SINGAPORE,20.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,18,PHILIPPINES,77.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,55,HONG KONG,20.0,0.0,36,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,1,SINGAPORE,20.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,18,GREECE,29.7,17.82,43,No
EPX,Travel Agency,Online,Cancellation Plan,,35,UNITED STATES,10.0,0.0,29,No
EPX,Travel Agency,Online,Cancellation Plan,,36,"TAIWAN, PROVINCE OF CHINA",47.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,75,UNITED KINGDOM,78.0,0.0,36,No
C2B,Airlines,Online,Silver Plan,F,23,SINGAPORE,0.0,5.63,25,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,8,UNITED KINGDOM,69.3,41.58,50,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,42,AUSTRALIA,69.3,41.58,34,No
EPX,Travel Agency,Online,Cancellation Plan,,73,BELGIUM,0.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,9,THAILAND,69.3,41.58,28,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,32,INDONESIA,20.0,0.0,29,No
EPX,Travel Agency,Online,Cancellation Plan,,232,TURKEY,80.0,0.0,36,No
JZI,Airlines,Online,Basic Plan,M,42,"KOREA, REPUBLIC OF",35.0,12.25,43,No
EPX,Travel Agency,Online,Cancellation Plan,,37,"KOREA, REPUBLIC OF",33.0,0.0,29,No
C2B,Airlines,Online,Bronze Plan,M,10,SINGAPORE,21.0,5.25,22,No
EPX,Travel Agency,Online,Cancellation Plan,,35,INDIA,10.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,7,SINGAPORE,64.0,0.0,35,No
SSI,Airlines,Online,Ticket Protector,,4736,SINGAPORE,0.32,0.09,48,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,15,SINGAPORE,20.0,0.0,36,No
RAB,Airlines,Online,Value Plan,,3,BRUNEI DARUSSALAM,15.0,6.0,38,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,17,CHINA,26.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,99,DENMARK,227.7,136.62,50,No
EPX,Travel Agency,Online,Cancellation Plan,,6,SINGAPORE,10.0,0.0,35,No
LWC,Travel Agency,Online,Single Trip Travel Protect Gold,M,26,UNITED KINGDOM,48.5,31.53,23,No
C2B,Airlines,Online,Annual Silver Plan,M,365,SINGAPORE,-216.75,54.19,36,No
JZI,Airlines,Online,Basic Plan,F,173,INDONESIA,33.0,11.55,44,No
EPX,Travel Agency,Online,Cancellation Plan,,74,SINGAPORE,40.0,0.0,36,No
JZI,Airlines,Online,Basic Plan,M,23,VIET NAM,22.0,7.7,57,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,2,INDONESIA,24.0,0.0,35,No
ART,Airlines,Online,Value Plan,M,7,MALAYSIA,29.0,10.15,118,No
C2B,Airlines,Online,Bronze Plan,F,82,SINGAPORE,161.0,40.25,50,No
CWT,Travel Agency,Offline,Rental Vehicle Excess Insurance,,66,SWITZERLAND,99.0,59.4,57,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,156,JAPAN,26.0,0.0,36,Yes
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,16,AUSTRALIA,59.4,35.64,29,No
JZI,Airlines,Online,Value Plan,M,10,CHINA,45.0,15.75,45,No
JZI,Airlines,Offline,Basic Plan,,16,INDONESIA,37.0,12.95,118,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,32,SINGAPORE,44.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,73,THAILAND,33.0,0.0,53,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,3,CHINA,30.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,8,CHINA,19.0,0.0,36,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,39,PHILIPPINES,20.0,0.0,20,No
KML,Travel Agency,Online,Value Plan,F,95,BELGIUM,75.0,28.5,48,No
EPX,Travel Agency,Online,Cancellation Plan,,98,"TAIWAN, PROVINCE OF CHINA",21.0,0.0,36,No
C2B,Airlines,Online,Silver Plan,F,9,SINGAPORE,39.0,9.75,31,No
EPX,Travel Agency,Online,Cancellation Plan,,111,INDONESIA,22.0,0.0,36,No
C2B,Airlines,Online,Bronze Plan,F,8,SINGAPORE,17.55,4.39,30,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,430,AUSTRALIA,-59.4,35.64,41,No
EPX,Travel Agency,Online,Cancellation Plan,,31,JAPAN,51.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,13,CHINA,0.0,0.0,35,No
EPX,Travel Agency,Online,Cancellation Plan,,13,MALAYSIA,10.0,0.0,47,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,53,INDONESIA,29.7,17.82,54,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,77,JAPAN,-29.7,17.82,59,No
C2B,Airlines,Online,Bronze Plan,F,40,SINGAPORE,80.25,20.06,29,No
EPX,Travel Agency,Online,Cancellation Plan,,18,THAILAND,63.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,20,VIET NAM,33.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,95,NETHERLANDS,0.0,5.94,31,No
EPX,Travel Agency,Online,Cancellation Plan,,37,PHILIPPINES,12.0,0.0,35,No
EPX,Travel Agency,Online,Cancellation Plan,,87,UNITED STATES,64.0,0.0,20,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,9,CHINA,112.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,70,HONG KONG,10.0,0.0,20,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,25,INDIA,30.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,151,UNITED STATES,112.0,0.0,69,No
C2B,Airlines,Online,Silver Plan,F,19,SINGAPORE,72.0,18.0,34,No
EPX,Travel Agency,Online,Cancellation Plan,,45,JAPAN,53.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,20,JAPAN,38.0,0.0,35,No
EPX,Travel Agency,Online,Cancellation Plan,,3,SINGAPORE,15.0,0.0,36,No
C2B,Airlines,Online,Bronze Plan,M,11,SINGAPORE,17.0,4.25,52,Yes
EPX,Travel Agency,Online,1 way Comprehensive Plan,,37,SINGAPORE,24.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,23,MALAYSIA,59.4,35.64,53,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,54,INDIA,54.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,23,SINGAPORE,37.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,10,"TAIWAN, PROVINCE OF CHINA",36.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,14,MALAYSIA,19.8,11.88,25,Yes
EPX,Travel Agency,Online,1 way Comprehensive Plan,,31,THAILAND,33.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,38,INDONESIA,69.0,0.0,36,No
RAB,Airlines,Online,Value Plan,F,4,BRUNEI DARUSSALAM,15.0,6.0,28,No
JZI,Airlines,Online,Basic Plan,M,38,THAILAND,30.0,10.5,46,No
EPX,Travel Agency,Online,Cancellation Plan,,114,SWEDEN,115.0,0.0,36,No
C2B,Airlines,Online,Silver Plan,F,13,SINGAPORE,76.3,19.07,35,Yes
EPX,Travel Agency,Online,2 way Comprehensive Plan,,118,MYANMAR,20.0,0.0,30,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,62,KENYA,26.0,0.0,36,No
C2B,Airlines,Online,Silver Plan,M,3,SINGAPORE,19.5,4.88,27,No
EPX,Travel Agency,Online,Cancellation Plan,,2,CHINA,19.0,0.0,36,No
C2B,Airlines,Online,Bronze Plan,F,11,SINGAPORE,29.5,7.38,27,No
C2B,Airlines,Online,Bronze Plan,M,58,SINGAPORE,62.0,15.5,23,Yes
JZI,Airlines,Online,Basic Plan,F,19,CHINA,26.0,9.1,40,No
RAB,Airlines,Online,Value Plan,,2,MALAYSIA,15.0,6.0,58,No
JZI,Airlines,Online,Basic Plan,M,28,MALAYSIA,30.0,10.5,33,No
EPX,Travel Agency,Online,Cancellation Plan,,14,MYANMAR,11.0,0.0,36,No
SSI,Airlines,Online,Ticket Protector,,36,SINGAPORE,3.73,1.05,48,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,42,CHINA,26.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,11,INDONESIA,21.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,12,SINGAPORE,80.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,3,MALAYSIA,19.8,11.88,45,No
EPX,Travel Agency,Online,Cancellation Plan,,20,VIET NAM,11.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,112,SINGAPORE,79.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,326,PHILIPPINES,19.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,74,AUSTRALIA,138.6,83.16,50,No
EPX,Travel Agency,Online,Cancellation Plan,,22,SINGAPORE,10.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,24,SWITZERLAND,49.5,29.7,35,No
EPX,Travel Agency,Online,Cancellation Plan,,59,INDIA,18.0,0.0,30,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,3,MALAYSIA,20.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,4,MALAYSIA,10.0,0.0,36,No
C2B,Airlines,Online,Silver Plan,M,19,SINGAPORE,22.5,5.63,22,Yes
JZI,Airlines,Online,Basic Plan,F,43,PHILIPPINES,42.0,14.7,43,No
C2B,Airlines,Online,Silver Plan,F,44,SINGAPORE,39.0,9.75,50,No
EPX,Travel Agency,Online,Cancellation Plan,,29,CZECH REPUBLIC,59.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,11,UNITED STATES,59.4,35.64,42,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,18,MALAYSIA,29.7,17.82,41,No
JZI,Airlines,Online,Basic Plan,M,27,THAILAND,22.0,7.7,39,No
JZI,Airlines,Online,Basic Plan,M,19,JAPAN,44.0,15.4,41,No
C2B,Airlines,Online,Bronze Plan,M,6,SINGAPORE,16.0,4.0,27,No
EPX,Travel Agency,Online,Cancellation Plan,,16,SINGAPORE,10.0,0.0,70,No
EPX,Travel Agency,Online,Cancellation Plan,,21,INDIA,26.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,23,"KOREA, REPUBLIC OF",29.7,17.82,25,No
JZI,Airlines,Online,Basic Plan,M,7,MALAYSIA,18.0,6.3,53,No
SSI,Airlines,Online,Ticket Protector,,97,SINGAPORE,5.59,1.57,48,No
C2B,Airlines,Online,Bronze Plan,M,16,SINGAPORE,33.5,8.38,20,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,17,FRANCE,29.7,17.82,51,No
TST,Travel Agency,Offline,Travel Cruise Protect,F,63,MALAYSIA,30.0,10.5,76,No
C2B,Airlines,Online,Bronze Plan,M,6,SINGAPORE,53.25,13.31,33,No
C2B,Airlines,Online,Bronze Plan,F,4,SINGAPORE,16.0,4.0,65,No
C2B,Airlines,Online,Silver Plan,M,21,SINGAPORE,62.25,15.56,34,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,35,VIET NAM,23.0,0.0,36,No
KML,Travel Agency,Online,Value Plan,M,74,GERMANY,75.0,28.5,48,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,16,RUSSIAN FEDERATION,25.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,21,RUSSIAN FEDERATION,93.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,60,JAPAN,30.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,11,MALAYSIA,10.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,29,HONG KONG,-12.0,0.0,36,No
SSI,Airlines,Online,Ticket Protector,,45,SINGAPORE,1.03,0.29,48,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,5,MALAYSIA,0.0,23.76,41,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,43,CHINA,27.0,0.0,36,No
C2B,Airlines,Online,Bronze Plan,F,24,SINGAPORE,32.0,8.0,74,No
LWC,Travel Agency,Online,Single Trip Travel Protect Silver,F,17,UNITED STATES,56.5,36.73,35,No
JZI,Airlines,Online,Value Plan,M,14,THAILAND,39.0,13.65,39,No
JZI,Airlines,Online,Value Plan,M,18,AUSTRALIA,58.0,20.3,48,No
C2B,Airlines,Online,Bronze Plan,F,9,SINGAPORE,20.0,5.0,41,No
EPX,Travel Agency,Online,Cancellation Plan,,38,PAKISTAN,32.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,7,MALAYSIA,39.6,23.76,57,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,20,JAPAN,72.0,0.0,36,No
JZI,Airlines,Online,Basic Plan,F,39,SRI LANKA,22.0,7.7,29,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,17,HONG KONG,34.0,0.0,36,No
C2B,Airlines,Online,Bronze Plan,M,5,SINGAPORE,16.0,4.0,29,No
JZI,Airlines,Online,Basic Plan,M,10,CHINA,22.0,7.7,66,No
JZI,Airlines,Online,Basic Plan,M,51,THAILAND,22.0,7.7,36,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,38,SINGAPORE,20.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,7,CHINA,37.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,180,INDONESIA,10.0,0.0,28,No
EPX,Travel Agency,Offline,2 way Comprehensive Plan,,23,INDONESIA,20.0,0.0,31,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,4,THAILAND,20.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,39,UNITED KINGDOM,59.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,7,PHILIPPINES,28.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,2,INDIA,22.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,160,ARGENTINA,41.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,25,INDIA,32.0,0.0,36,No
TTW,Travel Agency,Offline,Individual Comprehensive Plan,M,368,SINGAPORE,97.0,0.0,37,No
EPX,Travel Agency,Online,Cancellation Plan,,73,POLAND,128.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,39,HONG KONG,19.0,0.0,36,No
JZI,Airlines,Online,Value Plan,F,9,AUSTRALIA,45.0,15.75,45,Yes
C2B,Airlines,Online,Silver Plan,F,6,SINGAPORE,22.5,5.63,43,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,26,INDONESIA,24.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,25,HONG KONG,29.0,0.0,35,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,65,AUSTRALIA,9.9,5.94,31,No
EPX,Travel Agency,Online,Cancellation Plan,,11,SINGAPORE,80.0,0.0,36,No
JZI,Airlines,Online,Basic Plan,M,14,CHINA,26.0,9.1,45,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,5,UNITED STATES,43.0,0.0,28,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,93,INDONESIA,20.0,0.0,45,No
JZI,Airlines,Online,Value Plan,F,71,AUSTRALIA,58.0,20.3,28,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,13,MALAYSIA,19.8,11.88,47,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,25,SINGAPORE,20.0,0.0,35,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,57,AUSTRALIA,-59.4,35.64,28,No
JZI,Airlines,Online,Basic Plan,M,0,CHINA,22.0,7.7,34,No
EPX,Travel Agency,Online,Cancellation Plan,,2,INDIA,16.0,0.0,35,No
EPX,Travel Agency,Online,Cancellation Plan,,34,UNITED STATES,21.0,0.0,32,No
EPX,Travel Agency,Online,Cancellation Plan,,5,SINGAPORE,10.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,8,CHINA,30.0,0.0,36,No
JZI,Airlines,Online,Basic Plan,F,9,SRI LANKA,26.0,9.1,63,No
EPX,Travel Agency,Online,Cancellation Plan,,8,MALAYSIA,15.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,40,SINGAPORE,30.0,0.0,29,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,28,INDONESIA,20.0,0.0,41,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,76,JAPAN,45.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,69,UNITED KINGDOM,138.6,83.16,48,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,19,CHINA,26.0,0.0,36,No
C2B,Airlines,Online,Bronze Plan,F,10,SINGAPORE,40.0,10.0,55,No
EPX,Travel Agency,Online,Cancellation Plan,,17,SINGAPORE,10.0,0.0,39,No
EPX,Travel Agency,Online,Cancellation Plan,,15,UNITED KINGDOM,66.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,110,ARGENTINA,80.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,5,JAPAN,10.0,0.0,22,No
C2B,Airlines,Online,Bronze Plan,M,11,SINGAPORE,26.5,6.63,41,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,13,THAILAND,49.5,29.7,31,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,2,MALAYSIA,20.0,0.0,21,No
SSI,Airlines,Online,Ticket Protector,,146,SINGAPORE,0.19,0.05,48,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,6,AUSTRALIA,29.7,17.82,60,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,6,THAILAND,25.0,0.0,34,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,16,AUSTRALIA,49.5,29.7,48,No
JZI,Airlines,Online,Basic Plan,M,116,THAILAND,18.0,6.3,39,No
JZI,Airlines,Online,Basic Plan,M,2,CHINA,22.0,7.7,36,No
EPX,Travel Agency,Online,Cancellation Plan,,129,MALAYSIA,10.0,0.0,41,No
EPX,Travel Agency,Online,Cancellation Plan,,62,INDIA,50.0,0.0,36,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,6,UNITED STATES,23.0,0.0,49,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,11,AUSTRALIA,39.6,23.76,47,No
JZI,Airlines,Online,Value Plan,F,84,"KOREA, REPUBLIC OF",69.0,24.15,34,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,63,"TANZANIA, UNITED REPUBLIC OF",112.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,17,PHILIPPINES,20.0,0.0,36,No
C2B,Airlines,Online,Bronze Plan,M,12,SINGAPORE,16.0,4.0,21,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,33,MALAYSIA,21.0,0.0,36,No
JZI,Airlines,Offline,Basic Plan,F,43,AUSTRALIA,83.0,29.05,59,No
EPX,Travel Agency,Online,Cancellation Plan,,19,MYANMAR,34.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,149,MALAYSIA,20.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,73,VIET NAM,16.0,0.0,36,No
C2B,Airlines,Online,Silver Plan,M,6,SINGAPORE,35.5,8.88,29,No
JZI,Airlines,Online,Value Plan,M,17,CHINA,58.0,20.3,30,No
TST,Travel Agency,Offline,Travel Cruise Protect,F,38,MALAYSIA,30.0,10.5,63,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,5,INDONESIA,38.0,0.0,35,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,14,JAPAN,53.0,0.0,36,No
JZI,Airlines,Online,Basic Plan,F,39,HONG KONG,26.0,9.1,54,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,13,THAILAND,35.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,70,UNITED STATES,80.0,0.0,59,No
EPX,Travel Agency,Online,Cancellation Plan,,7,MALAYSIA,10.0,0.0,36,No
JZI,Airlines,Online,Basic Plan,F,4,MYANMAR,18.0,6.3,30,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,33,JAPAN,30.0,0.0,27,No
EPX,Travel Agency,Online,Cancellation Plan,,3,CHINA,18.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,62,INDONESIA,20.0,0.0,43,No
